name,release_date,required_age,genres,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,average_completion_time,developers
Hard West,2015-11-18,0,Western;Strategy;Turn-Based Strategy,2113,583,3.95,7.25,200000-500000,14.99,20.00,CreativeForge Games
Sleeping Dogs: Definitive Edition,2014-10-08,18,Open World;Action;Martial Arts,15529,1904,10.60,10.03,1000000-2000000,19.99,24.00,United Front Games
Zoo Park,2014-06-13,0,Simulation;Strategy;Management,141,107,0.02,0.02,50000-100000,3.99,3.00,Excalibur
Mortal Kombat X,2015-04-13,18,Fighting;Gore;Action,21484,7154,17.17,7.43,1000000-2000000,15.99,7.00,NetherRealm Studios
Radiation Island,2016-11-29,0,Adventure;Action;Indie,265,96,0.00,0.00,0-20000,7.19,26.00,Atypical Games
Back to Bed,2014-08-06,0,Indie;Puzzle;Casual,1497,342,4.03,3.70,500000-1000000,4.49,2.00,Bedtime Digital Games
Black The Fall,2017-07-11,0,Indie;Adventure;Action,623,190,2.02,2.45,100000-200000,10.99,3.50,Sand Sailor Studio
Buzz Aldrin's Space Program Manager,2014-10-31,0,Simulation;Strategy;Space,279,68,0.00,0.00,0-20000,22.99,11.50,Polar Motion
Lost Chronicles of Zerzura,2014-07-10,0,Adventure;Point & Click;Puzzle,67,15,0.00,0.00,50000-100000,6.99,10.50,Cranberry Production
LogiGun,2014-07-22,0,Indie;Casual;Puzzle,45,9,0.00,0.00,0-20000,3.99,6.50,Alfred Lam
Ziggurat,2014-10-23,0,FPS;Rogue-lite;Procedural Generation,2675,405,12.60,12.77,200000-500000,10.99,6.00,Milkstone Studios
Pushcat,2015-01-12,0,Indie;Action;Pixel Graphics,80,6,0.00,0.00,0-20000,3.99,17.00,Zut Games
War in a Box: Paper Tanks,2014-07-04,0,Strategy;Tower Defense;Indie,131,53,0.63,0.63,50000-100000,3.99,5.50,DQ Team
City Quest,2015-08-20,0,Adventure;Indie;Point & Click,27,10,0.00,0.00,0-20000,1.69,10.50,Stone Monkey Studios
Orborun,2014-09-05,0,Indie;Racing;Action,324,86,0.28,0.28,100000-200000,4.79,3.00,
Geneshift,2017-05-23,0,Early Access;Action;Indie,623,127,4.67,5.10,500000-1000000,11.39,0.50,Nik Nak Studios
Knights of Pen and Paper 2,2015-10-20,0,RPG;Adventure;Strategy,912,160,9.22,9.22,100000-200000,5.59,13.50,Kyy Games
The Nightmare Cooperative,2014-07-16,0,Strategy;Indie;Rogue-like,56,55,0.00,0.00,50000-100000,3.99,0.93,Lucky Frame
Hatoful Boyfriend,2014-09-04,0,Visual Novel;Anime;Dating Sim,5235,328,10.37,4.08,200000-500000,6.99,6.00,"Hato Moa, MIST[PSI]PRESS"
Grand Ages: Medieval,2015-09-25,0,Strategy;Simulation;Medieval,705,902,11.40,11.40,50000-100000,14.99,18.50,Gaming Minds Studios
Super Win the Game,2014-10-01,0,Indie;Platformer;Action,438,54,4.33,4.33,100000-200000,5.59,5.00,Minor Key Games
Shiftlings,2015-03-03,0,Action;Adventure;Co-op,52,18,4.90,4.90,50000-100000,10.99,15.00,Rock Pocket Games
Street Fighter V,2016-02-15,0,Fighting;Multiplayer;Competitive,8300,8498,13.22,20.05,500000-1000000,15.99,6.00,Capcom
The Way,2016-05-20,0,Adventure;Indie;Action,606,93,0.00,0.00,100000-200000,10.99,7.00,Puzzling Dream
The Stalin Subway,2014-09-19,0,Action;FPS;Singleplayer,199,169,0.00,0.00,20000-50000,2.79,7.50,"G5 Software, Orion Games"
Moonlight Minions,2014-10-22,0,Indie;Casual;Tower Defense,21,23,0.00,0.00,0-20000,0.79,57.50,Shorebound Studios
Super Panda Adventures,2014-07-14,0,Indie;Platformer;Metroidvania,679,24,2.25,2.25,20000-50000,3.99,10.00,Paul Schneider
SpellForce 3,2017-12-07,0,RPG;Strategy;RTS,2024,802,0.10,0.10,200000-500000,39.99,45.00,"Grimlore Games, THQ Nordic"
Vertical Drop Heroes HD,2014-07-25,0,Action;Indie;Rogue-like,569,123,10.93,10.93,200000-500000,4.99,9.00,Nerdook Productions
Flower Shop: Winter In Fairbrook,2014-07-31,0,Visual Novel;Otome;Casual,61,25,0.00,0.00,0-20000,10.99,4.00,Winter Wolves
Enter the Gungeon,2016-04-05,0,Bullet Hell;Pixel Graphics;Rogue-like,24947,1573,27.08,17.67,1000000-2000000,10.99,44.00,Dodge Roll
Sproggiwood,2014-10-24,0,Indie;RPG;Rogue-like,366,81,2.80,2.80,100000-200000,10.99,10.00,Freehold Games
Black Ice,2014-07-09,0,Early Access;Cyberpunk;RPG,356,21,0.00,0.00,0-20000,10.99,8.00,Super Duper Garrett Cooper
RC Mini Racers,2015-07-16,0,Racing;Indie;Action,69,39,0.10,0.10,20000-50000,3.99,2.00,Decane
Wildlife Park,2015-04-01,0,Simulation;Casual;Strategy,29,24,0.00,0.00,0-20000,4.99,25.00,b-alive
Zombie Solitaire,2014-07-03,0,Casual;Card Game;Zombies,83,34,0.00,0.00,20000-50000,6.19,7.00,
Data Hacker: Initiation,2014-07-21,0,RPG;Indie;Adventure,115,52,4.47,5.25,200000-500000,1.99,42.00,NewRealityGames
Super Trench Attack!,2014-07-24,0,Action;RPG;Indie,992,80,2.47,3.22,50000-100000,3.99,3.50,Retro Army
Tinertia,2015-09-03,0,Action;Indie;Twin Stick Shooter,86,4,0.00,0.00,0-20000,8.99,3.00,"Candescent Games, Section Studios"
Bird Assassin,2014-08-27,0,Action;Adventure;Shooter,289,37,0.00,0.00,20000-50000,1.59,0.98,Social Loner Studios
Chasm,2018-07-30,0,Metroidvania;Indie;RPG,485,227,0.00,0.00,20000-50000,15.49,9.50,Discord Games
Spirits of Xanadu,2015-03-26,0,Adventure;Indie;Action,238,60,5.12,5.12,20000-50000,3.99,3.00,"Allen Trivette ,Lee Williams"
Heroes Rise: HeroFall,2014-07-11,0,Indie;RPG;Text-Based,118,10,0.00,0.00,0-20000,2.89,5.50,Choice of Games
"Warhammer 40,000: Armageddon",2014-11-26,0,Warhammer 40K;Strategy;Turn-Based Tactics,458,128,0.00,0.00,50000-100000,29.99,25.00,"Flashback Games, The Lordz Games Studio"
Mega Coin Squad,2014-08-15,0,Indie;Action;Local Multiplayer,64,12,0.00,0.00,0-20000,10.99,3.00,Big Pixel Studios
Rain World,2017-03-28,0,Atmospheric;Survival;Platformer,1497,263,13.38,13.38,100000-200000,14.99,26.00,Videocult
Duck Game,2015-06-04,0,Multiplayer;Action;Local Multiplayer,16769,755,10.12,6.80,500000-1000000,9.99,0.92,Landon Podbielski
Ys VI: The Ark of Napishtim,2015-04-28,0,Action;RPG;JRPG,428,37,0.00,0.00,50000-100000,13.99,14.00,"Nihon Falcom Corporation, Konami"
Xanadu Next,2016-11-03,0,RPG;Action;Action RPG,188,21,0.00,0.00,0-20000,16.99,16.00,Nihon Falcom
Rime Berta,2014-12-16,0,RPG;Strategy;Anime,80,35,2.93,2.93,20000-50000,10.99,24.00,NEXT-SOFT+
OTTTD,2014-08-06,0,Indie;Strategy;Tower Defense,176,58,0.00,0.00,50000-100000,5.79,31.50,SMG Studio
Power-Up,2014-08-29,0,Indie;Action;Shoot 'Em Up,146,96,7.03,8.18,100000-200000,1.99,6.00,Psychotic Psoftware
Sniper Elite 4,2017-02-13,0,Sniper;Multiplayer;Shooter,10885,1910,8.70,9.65,500000-1000000,39.99,14.50,Rebellion
Strange Brigade,2018-08-27,0,Adventure;Action;Co-op,1329,388,8.17,8.17,50000-100000,39.99,8.00,Rebellion
Way of the Samurai 4,2015-07-23,0,Character Customization;Swordplay;Action,927,248,0.00,0.00,50000-100000,18.99,27.00,Acquire
Zoo Rampage,2014-07-09,0,Action;Indie;Casual,80,40,0.00,0.00,20000-50000,2.79,1.00,ViWo Games
The Expendabros,2014-08-05,0,Free to Play;Action;Multiplayer,15084,425,1.42,0.93,2000000-5000000,0.00,1.00,Free Lives
Soul Gambler,2014-07-10,0,Visual Novel;Adventure;RPG,2089,288,4.27,4.65,100000-200000,1.99,2.00,
Pixel Hunter,2014-07-17,0,Action;Adventure;Platformer,95,112,0.15,0.15,20000-50000,1.99,3.50,Lemondo Entertainment
The Masterplan,2015-06-04,16,Action;Heist;Strategy,310,183,15.43,15.43,50000-100000,14.99,9.00,Shark Punch
Blackbay Asylum,2014-08-01,18,Adventure;Indie;Horror,242,249,3.92,3.73,200000-500000,14.99,5.50,TAD Productions
Farming Simulator 15,2014-10-30,0,Simulation;Multiplayer;Open World,10219,1066,31.70,44.33,500000-1000000,15.49,82.50,Giants Software
The Abbey,2014-07-15,0,Adventure;Point & Click,29,18,0.00,0.00,0-20000,14.99,8.00,Dreamcatcher
The Maker's Eden,2014-07-30,0,Adventure;Casual;Cyberpunk,82,27,2.12,2.12,20000-50000,5.99,1.50,Screwy Lightbulb
REVOLVER360 RE:ACTOR,2014-10-24,0,Shoot 'Em Up;Action;Indie,258,15,4.38,6.68,50000-100000,6.99,2.50,Cross Eaglet
Boot Hill Heroes,2014-10-10,0,RPG;Indie;Western,78,14,0.00,0.00,0-20000,5.99,17.00,Experimental Gamer Studios
Boo Bunny Plague,2014-09-04,0,Action;Adventure;Indie,198,63,1.42,1.42,0-20000,1.59,2.50,On The Level Game Studios
The Solus Project,2016-06-07,0,Survival;Adventure;Exploration,1776,430,2.92,4.43,200000-500000,14.99,19.50,"Hourences, Grip Games"
Time Mysteries 2: The Ancient Spectres,2014-07-31,0,Hidden Object;Casual;Female Protagonist,242,156,0.00,0.00,50000-100000,6.99,4.50,Artifex Mundi
Sunrider: Mask of Arcadius,2014-07-09,0,Anime;Visual Novel;Free to Play,2375,174,4.78,4.80,500000-1000000,0.00,14.50,Love in Space
Sakura Spirit,2014-07-09,0,Anime;Visual Novel;Nudity,5905,1567,5.18,4.15,200000-500000,6.99,2.50,Winged Cloud
Conarium,2017-06-06,0,Adventure;Lovecraftian;Horror,743,170,0.00,0.00,20000-50000,14.99,4.50,Zoetrope Interactive
Legend of Kay Anniversary,2015-07-27,0,RPG;Adventure;Action,134,59,0.00,0.00,20000-50000,17.99,13.50,Neon Studios
